mass,intensity
50.00864,99517.0625
50.02690162554667,88481.15625
50.03000163866045,76772.75
50.03200164712096,107046.0546875
50.05545174632039,90372.53125
50.05659175114287,88060.328125
50.06726179627967,80459.4453125
50.07164181480818,110143.125
50.07180181548502,86441.8046875
50.07469182771045,88823.421875
50.07848184374311,89877.1875
50.08861188659557,89481.109375
50.08969189116424,89361.421875
50.09046189442154,83034.484375
50.103701950430086,94748.8828125
50.12380203545817,86355.45703125
50.12517204125361,83650.3125
50.131622068538746,104710.9609375
50.13812209603538,92921.1640625
50.14198211236416,86876.1484375
50.14463212357433,99065.3671875
50.14644213123109,91338.4375
50.159322185716746,85604.4765625
50.16295220107256,103701.6171875
50.1674322200241,86421.671875
50.17208223969477,77952.140625
50.1797022719293,96662.0234375
50.18571229735311,82365.5703125
50.18769230572902,84392.703125
50.19653234312445,84280.5234375
50.19689234464735,96716.1875
50.20269236918281,74181.390625
50.20398237463984,82198.5
50.21090240391319,80456.875
50.22310245552227,66521.734375
50.23677251334983,87304.875
50.23861252113349,89139.4375
50.24210253589708,107181.21875
50.24463254659961,96494.703125
50.24936256660871,107405.0234375
50.252722580822365,80782.25
50.25702259901245,81415.140625
50.264212629427966,104820.859375
50.265152633404405,72470.96875
50.2691226501985,90226.8828125
50.27710268395592,85669.359375
50.28437271470986,82378.796875
50.29313275176688,100679.390625
50.2991827773599,82052.21875
50.29972277964424,94386.1015625
50.303602796057625,85107.84375
50.307242811455744,77048.421875
50.31596284834355,97780.796875
50.31624284952802,96705.4375
50.31884286052668,83035.671875
50.321302870933096,89551.8046875
50.338812945004825,79021.375
50.358273027325545,86183.671875
50.36129304010091,97238.8359375
50.36380305071884,90470.0546875
50.36541305752955,77832.1640625
50.36595305981389,102166.1484375
50.37130308244574,83373.5
50.38322313287036,75911.0234375
50.38575314357289,91333.359375
50.390103161974494,88136.9921875
50.397963195224285,94158.75
50.40062320647675,90855.0625
50.40718323422721,88589.6328125
50.41053324839856,82161.234375
50.41515326794233,92572.6171875
50.41689327530297,79291.53125
50.41949328630162,105726.3515625
50.43380334683654,113499.5234375
50.4478734063562,106655.9296875
50.44933341253237,82574.8125
50.45179342293879,85964.546875
50.45703344510532,104221.2421875
50.46165346464909,89746.6875
50.46765349003061,78627.3125
50.46849349358401,78564.546875
50.46908349607986,80781.6328125
50.47575352429565,85201.5
50.482273551876894,85456.9921875
50.484783562494826,84745.1171875
50.49252359523699,73008.703125
50.51051367133924,81973.1484375
50.511143674004295,83048.8828125
